                           DRAW OF Rs.100/- 

                     STUDENT WELFARE PRIZE BOND						

			  HELD AT FAISALABAD		

Draw No. 25TH									

Series:	Common Draw					Date: 15/02/2019				

--------------------------------------------------------------------------										

First Prize of Rs. 700,000/-



144844

--------------------------------------------------------------------------										

Second Prize of Rs.200,000/- Each.										



015443      236547     466843

--------------------------------------------------------------------------										

										

Third Prize										

										

1,199 PRIZES OF Rs.1,000/- EACH										

--------------------------------------------------------------------------
000677	038859	085517	134120	175832	217819	252136	301464	338727	388523	437015
001654	039462	088500	135756	178677	218577	253617	301803	339299	388686	437041
001667	039522	089925	135952	178838	219746	255091	302408	341139	390441	437341
001847	041398	091460	136422	181611	219759	257489	302861	343258	390954	441167
003766	042899	091874	137821	182960	220018	257709	304889	344173	392213	442799
004004	042914	092786	138090	184305	221918	257717	305012	346989	392254	443515
004021	043198	093434	138109	184482	222228	257810	305264	353435	394073	443810
004654	043472	093626	140520	184965	222704	258384	306227	353991	394430	444599
006829	044279	094080	140630	185178	222824	258691	307196	354360	394518	444810
007862	045079	094291	141236	185638	223160	259283	307407	355234	394987	446047
010344	045187	094594	142420	186351	223490	259678	307604	355284	398721	446364
011495	045223	094888	144623	186869	224712	260728	310494	356815	399321	446703
011599	045589	096664	145644	189933	224918	262268	310698	356904	400382	448876
011646	046200	098730	146265	190608	224958	262393	311075	357033	401138	449323
011829	046826	099030	150875	191387	225014	263124	312473	358029	402016	451952
011890	047500	100784	151158	191655	225268	263525	312576	358709	402603	452649
012019	048687	101553	151441	193028	226618	264736	312779	359010	402643	452658
012513	048779	102369	151654	194655	226760	265094	312829	359112	402905	455029
012869	049307	103148	153158	195251	227416	265311	312935	359271	403176	455099
013416	050713	103197	154654	195413	227782	265355	314386	359561	403362	455459
013580	051266	103613	155513	195597	227897	268906	315327	361087	403565	457290
013599	051578	105749	155613	196419	228008	269928	315386	361347	404064	458265
013790	054081	106798	156117	199792	229328	272266	315953	361541	404111	458776
014529	055505	107914	156713	199800	229397	272602	317207	361830	407541	459617
015780	055831	108372	157746	200274	230432	272768	318602	362139	407645	459688
016486	056285	111216	159254	200882	234389	273417	319553	364318	412022	460237
017400	056369	112022	159311	201054	234635	276141	319973	365230	412114	461798
017653	056447	112440	159612	203013	235304	276331	320032	365939	412722	462835
017936	058019	116283	159688	203065	235585	278609	321559	367958	412771	463053
018981	058140	117183	160049	203202	235978	279577	321691	368065	412820	464773
020137	058343	117799	161164	203880	237104	280142	323102	368089	412826	465244
020363	059643	118435	161313	204224	237232	281223	324632	369091	414249	467991
020852	060439	120136	162191	205293	237765	281788	326351	371110	415397	468928
021140	064875	122157	162493	205761	237791	282907	326592	371524	417048	469708
021442	065026	122878	162810	205827	238844	283599	326933	372775	417474	471276
022406	065975	123250	162942	206586	239178	284969	327013	375393	417498	471370
022616	068089	124212	162999	206614	240626	286674	327356	375482	417688	471563
022859	068427	124218	164464	206658	241316	286936	329880	375520	421464	472359
022958	068556	124618	165244	207135	243365	288658	330117	376142	424295	472435
024110	070156	124825	166134	208190	243657	289235	330705	377676	426501	473146
026487	070547	127410	166394	210448	244368	289621	330903	378020	427705	473790
