                    DRAW OF Rs.1,500/- PRIZE BOND						

			 HELD AT HYDERABAD

Draw No. 77th									

Series:	Common Draw					Date: 15/02/2019				

--------------------------------------------------------------------------										

First Prize of Rs. 3,000,000/-										



051726

--------------------------------------------------------------------------										

Second Prize of Rs.1,000,000/- Each.										

										

265147  266899    395935
--------------------------------------------------------------------------										

										

Third Pprize										

										

1,696 PRIZES OF Rs.18,500/- EACH										

--------------------------------------------------------------------------

000285	033438	067475	100220	129695	161969	193912	228493	260312	294018	324587
001075	033799	067650	100839	129742	162093	194634	228777	260484	296587	324822
001395	033864	067839	102857	130367	162278	195393	229561	260847	296848	324828
002274	037161	068234	104288	130854	162302	196283	229915	261142	296859	324923
002688	037763	068760	104709	131326	164102	196695	231171	261192	297425	325341
002981	038792	070271	104967	131416	164154	197584	231183	261969	298059	326750
004202	039379	070569	105544	131868	164709	197722	231400	262941	298246	327270
004521	040428	071624	105793	132329	164919	198735	232090	263071	298267	327348
006279	041482	072564	105917	132500	166486	199109	233048	263107	298295	327762
006590	041720	075261	106043	133423	166515	199788	233370	266829	299659	328594
007406	042700	075576	106435	134039	166859	200290	233842	268822	300314	329193
009029	042897	075788	106755	135343	168615	200708	234030	269134	300355	329639
009299	043090	076305	106874	135826	168714	200975	234206	269402	302138	329855
009368	045016	078237	107870	135870	169530	201234	235214	269687	302400	330430
009756	045176	078698	107923	137164	169809	203776	235410	271242	302732	331498
009908	045648	079069	108455	137262	170326	204351	235514	271739	303209	331714
010655	045774	079407	109253	138247	170840	204354	235631	273507	303746	334073
010858	046033	079477	109434	139777	171372	204957	237198	275397	303897	334222
012493	046083	079739	109530	140363	172636	205660	237774	275407	304633	334461
013338	047225	079774	109779	140852	173041	206048	238656	276373	304858	334947
013547	047811	080641	110853	141981	174179	207571	239026	277637	305474	334970
013636	048004	081973	111747	142708	174415	209550	239213	278486	306302	334989
014125	048618	083299	112426	143207	174941	210447	239350	279664	306786	335326
014643	049048	083410	113452	143386	175295	211187	239405	279862	307641	335428
015541	049205	083613	113593	145570	175407	211212	239640	280725	307812	335524
017454	050055	084184	114107	145817	175706	211369	240037	280902	308648	335664
018269	050977	085202	114447	146077	175908	211692	240668	280977	310241	337239
018293	051378	085620	114503	146573	176835	211758	240764	281314	310425	338189
018839	051608	086444	116505	146668	177714	211942	241570	281852	311488	338579
019185	052274	086763	119672	147571	177802	212358	241807	282168	311813	339666
020599	052565	086808	119891	148392	178006	212426	241884	282725	313414	341144
020920	054742	086823	120247	149739	178269	213157	241917	282944	313589	341190
021268	054944	087123	120505	150238	178927	213432	243379	284950	314096	341833
021921	055106	087327	121116	151127	180883	213482	243546	285140	314120	342174
022673	055954	087420	121826	151655	181161	213847	244140	285382	314127	342350
023569	057917	087902	121978	152802	182081	213997	244422	285748	314195	343131
024307	059579	088544	122188	153205	182662	215169	245412	286153	314238	343471
025152	060182	089910	123072	153208	182898	215682	246812	286505	315485	343552
025317	060410	090035	123570	155292	182962	215698	247390	287095	315581	343588
025963	061986	090584	123678	155639	184127	215866	248025	287630	315666	344096
027133	062636	092335	124395	155748	184628	216361	248030	287966	316436	344972
