"101st  DRAW OF RS.1,500/- DENOMINATION NATIONAL PRIZE BONDS"										
HELD ON 17-02-2025 AT SBP BSC MULTAN
First Prize of Rs. 3,000,000/-
402432
Second Prize of Rs. 1,000,000 each.
543452   764165    814653
										
"(1696 Prizes of Rs.18,500/- each)"										
										
										
000222	033530	056693	079715	112543	135096	172189	201778	227808	254233	283352
000526	033712	056737	082924	112794	135676	172490	202336	228770	254238	283542
000687	034793	056849	084004	113028	135863	172754	202353	228792	254995	283807
000724	034817	057260	084625	113270	136504	173505	202757	229281	255428	285622
001871	034886	057493	084869	113687	137405	174080	204480	229547	255521	288509
001891	035460	058044	084992	114046	137877	174678	205828	229569	255864	289964
002345	035497	058100	085474	114430	138699	175737	205836	230259	259390	290144
003939	035683	058893	086101	115753	139039	176954	207039	231315	259557	290404
005295	036373	059076	086777	116324	139784	177235	207235	231397	259598	290634
005636	038529	059451	087948	116386	139870	178168	207601	231589	260712	291546
005710	038908	059953	088027	117141	140508	178308	207734	231626	261398	292076
006336	039110	059980	088147	118154	141788	178613	208848	231832	263142	292123
007181	039583	060228	089508	118295	142603	178878	209080	232330	263207	292504
007352	039645	060420	089707	119094	142614	179188	209591	232410	263607	292737
007816	040120	060663	089919	119334	143305	179398	210401	233360	263728	294653
007904	040570	061202	089986	119978	144399	180148	210403	233775	264022	295442
008325	040589	061766	091536	120027	144591	182400	211062	234033	265044	295942
009302	041291	061790	091876	120062	147075	183222	211067	235432	265195	296535
009789	041452	061892	092645	120311	148030	183303	211412	235964	267334	297056
010622	041669	062161	093546	120578	148963	185006	211621	236540	267423	297788
011164	042507	062365	093923	121054	149038	185524	211629	237339	268055	297996
011535	043336	062560	094422	121159	149175	185607	214059	237634	268284	298044
011800	043353	062621	094488	121625	149299	185636	214791	237983	268560	298164
012160	044346	063238	094788	123374	149389	186381	215067	238884	268685	298170
012411	045525	063532	095162	123605	150120	188971	216223	239128	270943	298848
014666	045822	063950	095712	123810	150252	189000	217642	239453	270980	300087
015966	046112	064296	096001	124091	150692	189223	217643	239514	271364	300898
016142	046184	064357	096504	124299	152143	189915	217980	239929	271629	302079
016687	047630	064843	096576	124754	152294	190604	218044	240420	272028	302336
016991	048589	065129	097286	127238	152650	190881	218357	240759	272080	303786
017616	048639	065722	097467	128002	155307	191006	218530	240858	272430	304978
018076	049326	065919	098912	128235	156124	191015	218568	241964	272490	305332
018096	049470	066686	099663	128767	157962	191068	218722	242554	272550	305636
019255	049651	066803	099717	129065	158476	191331	219144	242621	272716	305932
019295	049944	067024	099750	129230	158483	191587	220236	243834	273150	306464
019870	050064	067245	100198	129327	158862	192908	220992	244934	273421	307787
020217	050493	068017	101162	130184	160464	192981	221205	245120	273823	307952
022115	050730	068303	102275	130534	162437	194058	221629	245676	274724	308227
022504	051058	069027	102370	130869	162926	195520	221850	245813	274894	308373
024453	052443	069748	103645	131381	163108	195699	221900	246653	275380	308385
025194	052926	069885	104109	131462	164016	195998	222238	247030	276063	308551
025909	053078	070210	105017	131898	164095	196112	222407	248164	276177	308575
026427	053123	072926	106262	132900	164318	196194	222490	248669	276571	309502
